Airport,Iata,city_id
Evansville Regional Airport,KEVV,2943
Snohomish County (Paine Field) Airport,KPAE,2944
Everglades Airpark,\N,2945
Excursion Inlet Seaplane Base,\N,2946
Eielson Air Force Base,PAEI,2947
Fairbanks International Airport,PAFA,2948
Fairbanks Train Depot,\N,2949
Travis Air Force Base,KSUU,2950
Fairfield Metro Station,\N,2951
Fairfield Station,\N,2952
Fallon Naval Air Station,KNFL,2953
Cape Cod Coast Guard Air Station,KFMH,2954
False Pass Airport,PAKF,2955
Far Rockaway Station,\N,2956
Hector International Airport,KFAR,2957
Republic Airport,KFRG,2958
Farmingdale Station,\N,2959
Four Corners Regional Airport,KFMN,2960
Drake Field,KFYV,2961
Fayetteville Regional Grannis Field,KFAY,2962
Fayetteville Amtrak Station,\N,2963
Fernandina Beach Municipal Airport,\N,2964
Findlay Airport,KFDY,2965
Fitchburg Municipal Airport,KFIT,2966
Fitzgerald Municipal Airport,KFZG,2967
Flagler County Airport,KXFL,2968
Flagler Aerial Spraying Inc Airport,CO00,2969
Flagstaff Pulliam Airport,KFLG,2970
Bishop International Airport,KFNT,2971
Florence Regional Airport,KFLO,2972
Florence,\N,2973
Fond du Lac County Airport,KFLD,2974
Forest Lake Airport,\N,2975
Davison Army Air Field,KDAA,2976
Lawson Army Air Field (Fort Benning),KLSF,2977
Pope Field,KPOB,2978
Fort Bridger Airport,KFBR,2979
Butts AAF (Fort Carson) Air Field,KFCS,2980
Fort Collins Loveland Municipal Airport,KFNL,2981
Fort Dodge Regional Airport,KFOD,2982
Wheeler Sack Army Air Field,KGTB,2983
Felker Army Air Field,KFAF,2984
Hood Army Air Field,KHLR,2985
Sierra Vista Municipal Libby Army Air Field,KFHU,2986
Bicycle Lake Army Air Field,KBYS,2987
Fort Jefferson,\N,2988
Godman Army Air Field,KFTK,2989
Fort Lauderdale Executive Airport,KFXE,2990
Fort Lauderdale Hollywood International Airport,KFLL,2991
Fort Lauderdale Cruise Terminal,\N,2992
Port Everglades,FTLD,2993
Fort Lauderdale Station,\N,2994
Cypress Creek Station,\N,2995
Sherman Army Air Field,KFLV,2996
Waynesville-St. Robert Regional Forney field,KTBN,2997
Gray Army Air Field,KGRF,2998
Fort Madison Station,\N,2999
Tipton Airport,KFME,3000
Page Field,KFMY,3001
Southwest Florida International Airport,KRSW,3002
Marina Municipal Airport,KOAR,3003
Isbell Field Airport,\N,3004
St Lucie County International Airport,KFPR,3005
Polk Army Air Field,KPOE,3006
Bryant Army Heliport,PAFR,3007
Marshall Army Air Field,KFRI,3008
Cairns AAF (Fort Rucker) Air Field,KOZR,3009
Fort Sheridan Station,\N,3010
Henry Post Army Air Field (Fort Sill),KFSI,3011
Fort Smith Regional Airport,KFSM,3012
Fort Stockton Pecos County Airport,KFST,3013
Wainwright Air Station,PAWT,3014
Ladd AAF Airfield,PAFB,3015
Fort Wayne International Airport,KFWA,3016
Pennsylvania Railroad Station,\N,3017
Smith Field,KSMD,3018
Fort Worth Meacham International Airport,KFTW,3019
Fort Worth Alliance Airport,KAFW,3020
Fort Yukon Airport,PFYU,3021
Fostoria Metropolitan Airport,KFZI,3022
Four Corners,\N,3023
Capital City Airport,KFFT,3024
Venango Regional Airport,KFKL,3025
Fraser CO Winter Park,\N,3026
Walkersville Turnaround,\N,3027
Simmons Army Air Field,KFBG,3028
Fremont Airport,\N,3029
Fremont Municipal Airport,KFET,3030
Northern Aroostook Regional Airport,KFVE,3031
Fresno Yosemite International Airport,KFAT,3032
Friday Harbor Airport,KFHR,3033
